variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
tires_13,moving_first60,5098,0.30754006750011,0.273447190652671,-0.256918124251435,0.0190034424062231,0.275921566657658,0.310260213371037,0.987606404051955,1.533416,Diagnostic perturbation; certificate not transferred
tires_13,moving_later,5689,0.249934706901199,0.247174563840295,-0.143540846981466,0.0432829797538523,0.186823826735318,0.251985601063186,1,1.533416,Diagnostic perturbation; certificate not transferred
inertia_07,all,11690,0.269782822573041,0.255874510421734,-0.178680800922263,0.0312225468851467,0.209903347807409,0.271343256804298,0.917349653366712,1.527487,Diagnostic perturbation; certificate not transferred
inertia_07,moving,10787,0.274534526043125,0.263569630436402,-0.201459453202753,0.0274724923908286,0.228931945593582,0.276568401223856,0.994142713252699,1.527487,Diagnostic perturbation; certificate not transferred
inertia_07,straight,6303,0.273847604403823,0.278710039042697,-0.263436886729155,0.00641526376277323,0.269852150491929,0.273197770962968,1,1.527487,Diagnostic perturbation; certificate not transferred
inertia_07,turning,4484,0.275497211576784,0.241634597358663,-0.114339969813611,0.0570718929355728,0.171411862749184,0.281238082873173,0.985909332706705,1.527487,Diagnostic perturbation; certificate not transferred
inertia_07,moving_first60,5098,0.306681589830596,0.29081579450004,-0.259125269061175,0.0167962975964832,0.275921566657658,0.308829797433704,0.987606404051955,1.527487,Diagnostic perturbation; certificate not transferred
inertia_07,moving_later,5689,0.242127727982441,0.245190801469407,-0.149784232734088,0.0370395940012299,0.186823826735318,0.244061998233463,1,1.527487,Diagnostic perturbation; certificate not transferred
inertia_13,all,11690,0.269353632369239,0.255375003668791,-0.178147082894841,0.0317562649125689,0.209903347807409,0.270917015864973,0.917349653366712,1.535985,Diagnostic perturbation; certificate not transferred
inertia_13,moving,10787,0.274077440953031,0.263416672074028,-0.200881056638318,0.028050888955264,0.228931945593582,0.276115190466665,0.994142713252699,1.535985,Diagnostic perturbation; certificate not transferred
inertia_13,straight,6303,0.273042006305691,0.277730771736863,-0.262694449387311,0.00715770110461738,0.269852150491929,0.272403440501814,1,1.535985,Diagnostic perturbation; certificate not transferred
inertia_13,turning,4484,0.275526335706777,0.241589615262558,-0.113992159560506,0.0574197031886775,0.171411862749184,0.281249854952716,0.985909332706705,1.535985,Diagnostic perturbation; certificate not transferred
inertia_13,moving_first60,5098,0.305703457706469,0.288034589271373,-0.258287917915019,0.0176336487426387,0.275921566657658,0.307859447843423,0.987606404051955,1.535985,Diagnostic perturbation; certificate not transferred
inertia_13,moving_later,5689,0.242254266342044,0.24585860039118,-0.149437889334991,0.0373859374003271,0.186823826735318,0.244187540776027,1,1.535985,Diagnostic perturbation; certificate not transferred
steering_scale_07,all,11690,0.258219431260131,0.244793763809244,-0.18902237472118,0.0208809730862295,0.209903347807409,0.259867634103015,0.917330521634508,1.572922,Diagnostic perturbation; certificate not transferred
steering_scale_07,moving,10787,0.264896361412832,0.25276762242149,-0.210696130049658,0.0182358155439233,0.228931945593582,0.266765500676015,0.994121979967312,1.572922,Diagnostic perturbation; certificate not transferred
