frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
550,pitchCorrected_futureGrid,all,xy,1,0,searchBoundary,0.296748438864202,0.405067994144199,3.60334457369978,-0.247573227459155,3.6023235784139,-0.0857726833839887
550,pitchCorrected_futureGrid,all,xy,2,1,accepted,0.296748438864202,0.396977230953066,2.74097048349882,-0.00670300615081439,2.73964858540486,-0.0851165078047714
550,pitchCorrected_futureGrid,all,xy,3,0,searchBoundary,0.296748438864202,0.3323320101746,3.21139689836674,-0.731731708428129,3.21137719249305,0.0112501722208245
550,pitchCorrected_futureGrid,all,xyz,1,0,searchBoundary,0.123609109328495,0.162726876916278,3.59623238504357,-0.164174342352927,3.59466911858128,-0.106024974200683
550,pitchCorrected_futureGrid,all,xyz,2,1,accepted,0.123609109328495,0.161873713847045,2.73387496300354,0.0418676338191311,2.73204739700035,-0.0999466551775507
550,pitchCorrected_futureGrid,all,xyz,3,0,searchBoundary,0.123609109328495,0.135068283586722,3.1998872296134,-0.600144913662662,3.19982900002679,-0.0193042179449019
550,equalMass,all,xy,1,1,accepted,0.272335470954735,0.352838838289227,3.41227924513219,-0.256505016850483,3.41113534130115,-0.0883477791810432
550,equalMass,all,xy,2,0,searchBoundary,0.272335470954735,0.350023149498002,2.75972601018864,-0.212454529365906,2.75920302624326,-0.0537244011761574
550,equalMass,all,xy,3,0,searchBoundary,0.272335470954735,0.352469476580405,3.17947265224835,-0.243674606309631,3.17857521281554,-0.075537824100093
550,equalMass,all,xyz,1,0,searchBoundary,0.138530598176648,0.266032971546329,3.5998512569826,-0.379005398628141,3.59857953242946,-0.0956787394305387
550,equalMass,all,xyz,2,0,searchBoundary,0.138530598176648,0.246232329394671,2.75956532176581,-0.31932105642419,2.75903353898247,-0.0541728332497976
550,equalMass,all,xyz,3,0,searchBoundary,0.138530598176648,0.25749575265177,3.17964638967073,-0.348396475058395,3.17876061852739,-0.0750472747370295
550,equalPeakXY,all,xy,1,1,accepted,0.314974153661899,0.411788969428581,3.39184380128559,-0.193230938258338,3.39078217760831,-0.0848563275976326
550,equalPeakXY,all,xy,2,0,searchBoundary,0.314974153661899,0.408807532581247,2.76219696882103,-0.198674506777076,2.76179954964265,-0.0468544785236683
550,equalPeakXY,all,xy,3,0,searchBoundary,0.314974153661899,0.411444955340271,3.18058068037766,-0.189380023885194,3.17975625165828,-0.0724130128616672
550,equalPeakXY,all,xyz,1,0,searchBoundary,0.166416972285917,0.320778812576301,3.59925762548247,-0.247535462222896,3.59794031936219,-0.0973699794677383
550,equalPeakXY,all,xyz,2,0,searchBoundary,0.166416972285917,0.297170206710075,2.75874340998853,-0.198380351255046,2.75816539876889,-0.0564697723492904
550,equalPeakXY,all,xyz,3,0,searchBoundary,0.166416972285917,0.31073587088237,3.18040017005445,-0.282162994780874,3.17956407380438,-0.0729214800652248
550,emMass,all,xy,1,1,accepted,0.342576340671017,0.416628901305292,2.68210917376802,0.089757935953302,2.68100853087147,-0.0768301855067101
550,emMass,all,xy,2,1,accepted,0.342576340671017,0.41662890130058,2.6821415169428,0.089768370903227,2.68104078233619,-0.0768338490404026
550,emMass,all,xy,3,1,accepted,0.342576340671017,0.416628901308171,2.68209428774521,0.0897737707108655,2.68099358926854,-0.0768319117063981
550,emMass,all,xyz,1,0,searchBoundary,0.185176274955312,0.322985469922542,3.59071230493976,0.0174590158724331,3.58863991431496,-0.121977138150163
550,emMass,all,xyz,2,0,searchBoundary,0.185176274955312,0.306993161418661,2.75209734888088,0.00948826466817624,2.75106846790566,-0.0752469442060908
550,emMass,all,xyz,3,0,searchBoundary,0.185176274955312,0.316874065892541,3.17230221086112,-0.022991085932996,3.17084999137418,-0.0959773370997025
550,wideSearch,all,xy,1,1,accepted,0.299133090873668,0.413999899352155,3.82769535124995,-0.474457128607038,3.82720614200836,-0.0611951677339957
550,wideSearch,all,xy,2,1,accepted,0.299133090873668,0.413999899352155,3.82769535124995,-0.474457128661464,3.82720614200836,-0.0611951677339957
550,wideSearch,all,xy,3,1,accepted,0.299133090873668,0.413999899352155,3.82769535124995,-0.474457128639263,3.82720614200836,-0.0611951677339957
550,wideSearch,all,xyz,1,1,accepted,0.158940955348539,0.347782922786764,4.86721226926975,-0.553003725533689,4.86572315959772,-0.120388572067175
