scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,46.5,0.345220702301407,0.0363643755413192
fusion,46.6,0.282375270928967,0.0792075964454393
fusion,46.7,0.357140360145312,-0.117028403030789
fusion,46.8,0.0928836095681655,0.0963922985393704
fusion,46.9,0.0446260392797029,0.0602727889394798
fusion,47,0.146080822015936,-0.0911068288732528
fusion,47.1,0.361788872634561,0.00890733226288189
fusion,47.2,0.358695220845601,0.0785340676433752
fusion,47.3,0.473206463947731,0.158158734139636
fusion,47.4,0.400738474477429,0.010724845390836
fusion,47.5,0.255125083909717,0.139607667623404
fusion,47.6,0.210934571515051,0.0931194440993989
fusion,47.7,0.247711617072728,0.0590267222322402
fusion,47.8,0.0768047393960172,-0.0667322217229549
fusion,47.9,0.0824158869143611,0.0911319031882459
fusion,48,0.138494323625365,0.184994029609924
fusion,48.1,0.244290255805278,0.0174567542703778
fusion,48.2,0.312065014135312,-0.0336838230709951
fusion,48.3,0.441819280189245,-0.0411468934205068
fusion,48.4,0.412447921579946,-0.0825301727499055
fusion,48.5,0.308130917248755,-0.129650617999148
fusion,48.6,0.276209705552099,-0.0578946089422714
fusion,48.7,0.317899615971835,-0.0300886672877536
fusion,48.8,0.122554843063625,-0.139921423637171
fusion,48.9,0.126836505539623,-0.0610475615954904
fusion,49,0.20918222850249,0.0242041275351473
fusion,49.1,0.179646566950295,0.020521961499858
