queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
46,36,1,1,1,accepted,-0.680209874000866,-0.0411469144746661,-0.00295812372334692,0.757350296415675,0.7,21,0.0676771967976337,484756.049980002,4976646.72849705,-1.60234160026159,484755.336742249,4976651.28122605,-1.37708819533184,484755.369770128,4976646.68735014,-1.60529972398494
46,41,1,1,1,accepted,-0.342546890722588,-0.0181371737271547,-0.00208196484352419,0.885255514585861,0.9,27,0.0392351265546673,484756.049980002,4976646.72849705,-1.60234160026159,484755.828960947,4976648.98098803,-1.49191068633805,484755.707433112,4976646.71035988,-1.60442356510511
51,21,1,1,1,accepted,-2.02017964003608,-0.3044064193964,-0.00246296414792102,0.252183705991345,0.269230769230769,7,0.160067342744437,484756.039990674,4976644.61399503,-1.70507554969226,484752.276778632,4976657.78101751,-1.0245281223353,484754.019811034,4976644.30958861,-1.70753851384019
51,26,1,1,1,accepted,-1.6547084939084,-0.205584112554789,-0.00514657774856353,0.281653683378444,0.346153846153846,9,0.179904591528055,484756.039990674,4976644.61399503,-1.70507554969226,484753.546917349,4976655.74549855,-1.14220758341985,484754.385282181,4976644.40841092,-1.71022212744083
51,31,1,1,1,accepted,-1.34452832507668,-0.0394973810762167,-0.0053155444339914,0.351802272263844,0.423076923076923,11,0.110186254631277,484756.039990674,4976644.61399503,-1.70507554969226,484754.578893835,4976653.55167225,-1.26039896764919,484754.695462349,4976644.57449765,-1.71039109412626
51,36,1,1,1,accepted,-0.983079495141283,-0.00113238766789436,-0.00306344610975495,0.556720839053206,0.615384615384615,16,0.101114177187127,484756.039990674,4976644.61399503,-1.70507554969226,484755.336742249,4976651.28122605,-1.37708819533184,484755.056911179,4976644.61286264,-1.70813899580202
51,41,1,1,1,accepted,-0.667633504082914,0.030007473193109,-0.00341640433275248,0.750709280713672,0.846153846153846,22,0.0466203833671159,484756.039990674,4976644.61399503,-1.70507554969226,484755.828960947,4976648.98098803,-1.49191068633805,484755.37235717,4976644.6440025,-1.70849195402502
51,46,1,1,1,accepted,-0.322925271466374,0.0700425840914249,-0.00396565888187728,0.700253783139314,0.807692307692308,21,0.0237048741533866,484756.039990674,4976644.61399503,-1.70507554969226,484756.049980002,4976646.72849705,-1.60234160026159,484755.717065403,4976644.68403761,-1.70904120857414
56,26,1,0,1,accepted,-2.08858145138947,-0.238367398269475,-0.00978449281864879,0.152386291031611,0.193548387096774,6,0.155955416486074,484755.952705224,4976642.69872573,-1.79165773445553,484753.546917349,4976655.74549855,-1.14220758341985,484753.864123773,4976642.46035833,-1.80144222727418
56,31,1,1,1,accepted,-1.77784173458349,-0.075477889738977,-0.00524860729906784,0.321655343358438,0.387096774193548,12,0.11869527050031,484755.952705224,4976642.69872573,-1.79165773445553,484754.578893835,4976653.55167225,-1.26039896764919,484754.17486349,4976642.62324784,-1.7969063417546
56,36,1,1,1,accepted,-1.44378624472301,-0.0310490559786558,-0.00390749328909257,0.362400603714227,0.387096774193548,12,0.163706136072685,484755.952705224,4976642.69872573,-1.79165773445553,484755.336742249,4976651.28122605,-1.37708819533184,484754.50891898,4976642.66767667,-1.79556522774462
56,41,1,1,1,accepted,-1.11167732969625,0.0525781717151403,-0.00862015297979246,0.542377613019926,0.612903225806452,19,0.157513519653402,484755.952705224,4976642.69872573,-1.79165773445553,484755.828960947,4976648.98098803,-1.49191068633805,484754.841027895,4976642.7513039,-1.80027788743532
